iter	RMSE
0	1.834590158
1	1.812707909
2	1.792878145
3	1.77742671
4	1.764721676
5	1.753671626
6	1.743371747
7	1.734700018
8	1.727055014
9	1.720484613
10	1.714848851
11	1.710074042
12	1.706383931
13	1.702692369
14	1.698253006
15	1.695060939
16	1.692446137
17	1.689868273
18	1.686710163
19	1.684279567
20	1.681622921
21	1.679356017
22	1.677786598
23	1.675824755
24	1.67431477
25	1.672922912
26	1.671081266
27	1.66948355
28	1.668118056
29	1.666840901
30	1.665238664
31	1.664216514
32	1.662659952
33	1.66136836
34	1.65992446
35	1.659108174
36	1.658113876
37	1.657171506
38	1.656047465
39	1.655141248
40	1.654204385
41	1.653417254
42	1.652606422
43	1.651898219
44	1.651282959
45	1.650488132
46	1.649633066
47	1.648862691
48	1.648025756
49	1.647524267
50	1.64675419
51	1.646041778
52	1.645584185
53	1.644771619
54	1.64357991
55	1.642863481
56	1.642153266
57	1.641574979
58	1.64104082
59	1.640358653
60	1.639742819
61	1.639196503
62	1.638184466
63	1.637457288
64	1.636804907
65	1.635905414
66	1.635163649
67	1.634508049
68	1.633783479
69	1.633660527
70	1.632984092
71	1.632371966
72	1.632019142
73	1.631404992
74	1.630921424
75	1.630272333
76	1.629734431
77	1.629278087
78	1.628904274
79	1.628459867
80	1.627740877
81	1.627293382
82	1.626916181
83	1.626371
84	1.626058538
85	1.625759588
86	1.625095668
87	1.624738172
88	1.624317785
89	1.62380509
90	1.623554334
91	1.623152328
92	1.622795228
93	1.622451468
94	1.622127762
95	1.621526563
96	1.621025884
97	1.620573715
98	1.62034888
99	1.619620033
100	1.619040861
101	1.618609034
102	1.618315196
103	1.617949187
104	1.617374696
105	1.617176286
106	1.616635214
107	1.61609885
108	1.615931487
109	1.615489286
110	1.615302124
111	1.614864012
112	1.614384831
113	1.614049391
114	1.613699927
115	1.613096288
116	1.612759866
117	1.612086364
118	1.611465568
119	1.610976475
120	1.610448723
121	1.610005888
122	1.609351141
123	1.608930018
124	1.608399674
125	1.608128427
126	1.607459058
127	1.606891441
128	1.606608711
129	1.606306938
130	1.605776374
131	1.605433629
132	1.60494257
133	1.60444845
134	1.603981006
135	1.603524181
136	1.603235215
137	1.60274077
138	1.602295034
139	1.60182693
140	1.601578391
141	1.601338681
142	1.601013048
143	1.600600141
144	1.600233523
145	1.599612204
146	1.599215255
147	1.598931124
148	1.598670757
149	1.59847814
150	1.598194648
151	1.597858267
152	1.597455866
153	1.596930761
154	1.596553089
155	1.596288159
156	1.596143269
157	1.59570413
158	1.595262574
159	1.594955392
160	1.594501521
161	1.593974322
162	1.593514867
163	1.593275151
164	1.592979214
165	1.592748333
166	1.59240614
167	1.592147201
168	1.592091368
169	1.591744429
170	1.59150541
171	1.591061281
172	1.590702834
173	1.590418412
174	1.590012362
175	1.589665907
176	1.589370142
177	1.589320541
178	1.588922609
179	1.588659004
180	1.588338567
181	1.588108
182	1.587792514
183	1.587631887
184	1.587586122
185	1.587549933
186	1.587123948
187	1.58679929
188	1.586439802
189	1.586024502
190	1.585641915
191	1.585314933
192	1.584729185
193	1.584411752
194	1.584142311
195	1.583799163
196	1.58342925
197	1.583226861
198	1.582996065
199	1.582781881
200	1.582399895
201	1.582097964
202	1.581804096
203	1.581372331
204	1.580863114
205	1.580610224
206	1.580295548
207	1.580266895
208	1.579935327
209	1.579587188
210	1.579331711
211	1.578986868
212	1.578743068
213	1.578560204
214	1.57823586
215	1.577955033
216	1.577614609
217	1.577381444
218	1.577218343
219	1.577018905
220	1.576992144
221	1.576734608
222	1.576453683
223	1.576218782
224	1.575870857
225	1.575510288
226	1.574985351
227	1.574606786
228	1.574349072
229	1.574071916
230	1.573901701
231	1.573731427
232	1.573369176
233	1.573083159
234	1.572858176
235	1.572566088
236	1.572347269
237	1.572164823
238	1.572010953
239	1.571853273
240	1.571602213
241	1.571579725
242	1.57112376
243	1.570749975
244	1.570508378
245	1.570300327
246	1.569993356
247	1.56997443
248	1.569662752
249	1.569266547
250	1.568998264
251	1.568863677
252	1.56869724
253	1.568650158
254	1.568496491
255	1.56816745
256	1.567808038
257	1.567550935
258	1.567374871
259	1.567113952
260	1.56688134
261	1.566650152
262	1.566365051
263	1.56611663
264	1.565852115
265	1.565583037
266	1.565367382
267	1.565267819
268	1.565097315
269	1.564863166
270	1.564552169
271	1.564535717
272	1.564279673
273	1.5640755
274	1.563849427
275	1.563596854
276	1.563476599
277	1.563241978
278	1.563070112
279	1.562865489
280	1.562594574
281	1.562431968
282	1.562304278
283	1.562288714
284	1.562107944
285	1.561845628
286	1.5616271
287	1.561450017
288	1.561316936
289	1.560983701
290	1.560704263
291	1.560435339
292	1.560278962
293	1.56005182
