iter	Passed	Remaining
0	66	33233
1	75	18699
2	83	13875
3	92	11498
4	101	10052
5	110	9104
6	119	8441
7	128	7911
8	137	7487
9	146	7159
10	154	6887
11	163	6654
12	172	6446
13	180	6264
14	188	6104
15	197	5968
16	205	5846
17	214	5744
18	223	5654
19	234	5617
20	243	5549
21	252	5482
22	261	5415
23	269	5343
24	278	5285
25	287	5236
26	295	5184
27	304	5134
28	313	5095
29	322	5057
30	331	5013
31	341	5000
32	350	4965
33	360	4936
34	368	4899
35	377	4871
36	387	4845
37	395	4814
38	404	4784
39	413	4760
40	424	4748
41	436	4755
42	445	4737
43	455	4722
44	466	4713
45	476	4700
46	486	4686
47	496	4674
48	506	4661
49	517	4657
50	527	4648
51	538	4638
52	548	4630
53	558	4616
54	567	4594
55	577	4578
56	586	4559
57	596	4549
58	606	4529
59	614	4509
60	624	4493
61	633	4475
62	642	4458
63	651	4440
64	661	4424
65	671	4412
66	679	4393
67	688	4373
68	697	4356
69	700	4304
70	709	4287
71	718	4271
72	727	4255
73	736	4239
74	745	4223
75	754	4207
76	763	4193
77	771	4175
78	780	4160
79	789	4144
80	797	4126
81	806	4112
82	815	4098
83	825	4089
84	837	4088
85	845	4072
86	855	4058
87	864	4045
88	872	4030
89	882	4018
90	891	4005
91	900	3992
92	909	3978
93	918	3966
94	953	4063
95	962	4048
96	970	4033
97	980	4020
98	988	4005
99	997	3991
100	1006	3976
101	1016	3966
102	1025	3953
103	1035	3941
104	1044	3929
105	1053	3917
106	1063	3905
107	1072	3893
108	1082	3883
109	1091	3869
110	1100	3856
111	1110	3845
112	1120	3837
113	1130	3826
114	1140	3816
115	1149	3804
116	1159	3794
117	1169	3787
118	1179	3777
119	1188	3764
120	1198	3753
121	1207	3742
122	1217	3730
123	1225	3717
124	1234	3704
125	1243	3692
126	1252	3678
127	1261	3666
128	1270	3653
129	1279	3641
130	1288	3630
131	1298	3619
132	1306	3605
133	1315	3593
134	1324	3581
135	1333	3568
136	1342	3557
137	1351	3544
138	1359	3532
139	1369	3521
140	1378	3510
141	1387	3499
142	1396	3486
143	1405	3474
144	1415	3464
145	1424	3454
146	1433	3441
147	1442	3430
148	1452	3420
149	1462	3413
150	1471	3401
151	1480	3390
152	1489	3378
153	1497	3365
154	1506	3354
155	1516	3343
156	1526	3334
157	1537	3327
158	1547	3319
159	1557	3309
160	1567	3300
161	1576	3290
162	1588	3283
163	1598	3275
164	1608	3266
165	1619	3258
166	1630	3251
167	1641	3243
168	1651	3234
169	1661	3225
170	1672	3217
171	1682	3209
172	1694	3202
173	1705	3195
174	1716	3188
175	1727	3180
176	1737	3170
177	1747	3160
178	1756	3149
179	1765	3138
180	1774	3126
181	1783	3115
182	1793	3106
183	1802	3096
184	1812	3086
185	1822	3076
186	1831	3065
187	1841	3056
188	1851	3046
189	1860	3035
190	1868	3023
191	1878	3013
192	1887	3002
193	1896	2992
194	1906	2982
195	1917	2973
196	1927	2963
197	1936	2953
198	1945	2943
199	1955	2933
200	1964	2921
201	1972	2910
202	1984	2904
203	1994	2893
204	2005	2885
205	2014	2875
206	2024	2866
207	2034	2856
208	2044	2846
209	2052	2834
210	2061	2823
211	2070	2812
212	2079	2801
213	2088	2790
214	2098	2781
215	2106	2769
216	2115	2759
217	2129	2754
218	2138	2744
219	2148	2733
220	2157	2723
221	2167	2713
222	2176	2703
223	2187	2695
224	2196	2685
225	2207	2676
226	2217	2667
227	2226	2656
228	2235	2645
229	2245	2636
230	2256	2627
231	2270	2622
232	2280	2613
233	2292	2606
234	2301	2595
235	2311	2585
236	2321	2575
